Company Name	Year Founded	Founder(s)	Industry	Funding Amount	Description	Employee Count
Cell Propulsion	2016	Nakul Kukar, Paras Kaushal	Automotive, Electric Vehicle	$4,074,000	Cell Propulsion is a fleet electrification firm that develops solutions for large-scale commercial vehicle fleet electrification.	11-50
DukaanÂ®	2019	Kaustub Pandey, Subhash Choudhary, Suumit Shah	DIY	$6,000,000	Dukaan is a self-service platform that allows merchants with no programming experience to set up an e-commerce store using their smartphone.	11-50
Play Shifu	2016	Dinesh Advani, Vivek Goyal	Augmented Reality, Education, Media and Entertainment, STEM Education, Toys	$28,438,340	PlayShifu is an EdTech company that provides teaching and learning tools for kids aged 4 to 12.	51-100
Lava International Limited	2009	Shailendra Nath Rai, Sunil Bhalla, Vishal Sehgal	Consumer Electronics, Mobile, Telecommunications	$90,000,000	Lava International Limited adheres to the highest standards of moral and professional ethics.	501-1000
Vivriti Capital	2017	Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar	Analytics, Banking, Crowdfunding, Financial Services, FinTech, Insurance, Marketplace	$107,701,572	Vivriti Capital is a marketplace for small businesses and individuals that don't have easy access to credit.	101-250
DocsApp	2015	Enbasekar Dinadayalane, Satish Kannan	Health Care, Medical, Mobile Apps, Wellness	$27,575,748	DocsApp is an online medical consultation platform that offers advice to patients of all ages in a variety of fields.	1001-5000
Furlenco	2012	Ajith Karimpana	Consumer, Furniture, Home Decor, Home Improvement, Rental, Subscription Service	$68,955,715	Furlenco is a monthly furniture rental subscription service that allows users to rent furniture on a monthly basis.	251-500
Swiggy	2014	Nandan Reddy, Rahul Jaimini, Sriharsha Majety	Delivery Service, E-Commerce Platforms, Restaurants	$2,428,380,000	Swiggy is an on-demand meal delivery service that delivers food from local eateries to clients' doorsteps.	10001+
Bombay Shaving Company	2015	Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande	Consumer Goods, E-Commerce, Lifestyle, Men's	$17,696,569	Bombay Shaving Company is a consumer goods company that specializes in the development of shave, beard, and skincare products.	1-10
Treebo Hotels	2015	Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta	Hospitality, Hotel, Internet	$69,174,397	Treebo is India's first tech-enabled, asset-light, low-cost lodging brand.	501-1000
Betterhalf	2016	Pawan Gupta, Rahul Namdev	Artificial Intelligence, Consumer Applications, Dating	$4,600,000	Based on the past data of millions of married couples, Betterhalf develops an AI-based partner prediction engine.	11-50
JioSaavn	2007	Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat	Internet, Mobile, Music, Music Streaming, Video Streaming	$131,591,747	Saavn is an Indian, Bollywood, and international music streaming service.	101-250
nearbuy	2011	Ankur Warikoo	Apps, E-Commerce, Internet, Restaurants, Travel	$37,237,275	NearBuy helps you find the finest things to do, purchase, and use in your area.	501-1000
Indifi Technologies	2015	Alok Mittal, Siddharth Mahanot, Sundeep Sahi	Credit, Financial Services, FinTech, Lending	$35,826,551	Indifi Technologies is a small company financing provider with a digital lending platform.	101-250
Portea Medical	2013	Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones	Health Care, Home Health Care, Hospital, Medical	$76,066,894	With a 24-city network, Portea Medical is India's largest and fastest-growing provider of in-home medical services.	1001-5000
Stashfin	2016	Tushar Aggarwal	Apps, Banking, Finance, Financial Services, FinTech	$75,000,000	StashFin is a digital lending startup that uses technology to make credit decisions in real time.	51-100
Square Yards	2014	Kanika Gupta, Tanuj Shori	Market Research, Real Estate	$73,000,000	Square Yards is India's largest real estate platform, with over 20 cities and 9 countries represented.	5001-10000
HealthifyMe	2012	Mathew Cherian, Sachin Shenoy, Tushar Vashisht	Apps, Fitness, Health Care, mHealth	$25,000,000	HealthifyMe is a computer and smartphone application that allows users to reach their fitness and weight loss goals.	101-250
QuickSell	2017	Deepak Bhagchandani	Software	$2,225,000	Platform for B2B Mobile Commerce	11-50
Perpule	2016	Abhinav Pathak, Saketh BSV, Yogesh Ghaturle	Apps, Billing, Enterprise Software, Mobile Payments, Point of Sale, Retail Technology, SaaS, Shopping, Software	$6,361,203	UltraPOS by Perpule is a cloud-based, mobile POS solution that significantly enhances your store's billing and checkout processes.	101-250
Avishkaar	2014	Rajeev Gaba, Tarun Bhalla	EdTech, Education	â¹100,000,000	The Maker Revolution in India is being led by India's premier Ed-Tech startup.	51-100
ReNew Power	2011	Sumant Sinha	Clean Energy, Energy, Renewable Energy, Solar, Wind Energy	$2,776,179,257	ReNew Power is an Indian wind energy company.	101-250
Hike	2012	Kavin Bharti Mittal	Apps, Messaging, Mobile, Online Portals, Social Network	$261,000,000	Hike is a company that creates and develops mobile messaging apps.	251-500
HealthPlix	2014	Raghuraj Sunder Raju, Sandeep Gudibanda	Artificial Intelligence, Health Care, Wellness	$22,523,899	Medical clinics and offices can use HealthPlix's digital health platform to increase their care and retain patients.	101-250
Mswipe Technologies	2011	Manish Patel	Financial Services, Payments	$97,467,607	POS, Mobile POS, mPOS, Card Payment, Payment Solutions, mQR, QR code, Digital Payments, Card Swiping Machine, NFC Payment, mQR, QR code, mQR, QR code, Digital Payments, Card Swiping Machine	5001-10000
Virohan	2018	Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja	Continuing Education, Corporate Training, EdTech, Health Care, Higher Education, Vocational Education	$3,450,000	Virohan is an EdTech startup that provides students with healthcare vocational training so that they can pursue a career in the field.	101-250
BimaPe	2020	Rahul Mathur	Consumer Applications, FinTech, InsurTech	$545,000	For individuals and families across India, BimaPe demystifies insurance and its management. 'BimaPe Bharosa Karo' means 'BimaPe Bharosa Karo.'	1-10
Netmeds	2010	Pradeep Dadha	E-Commerce, Health Care, Pharmaceutical	$99,000,000	Welcome to the most convenient drugstore in India!	501-1000
XYXX Apparels	2017	Yogesh Kabra	Gaming, Sports	$4,923,799	XYXX Apparels, which owns the XYXX innerwear line.	51-100
One97	2000	Vijay Shekhar Sharma	Finance, FinTech, Internet, Mobile Advertising, Mobile Payments, Software	$4,432,652,051	One97 provides its customers with mobile content and commerce services.	1001-5000
BookMyShow	1999	Ashish Hemrajani, Parikshit Dar, Rajesh Balpande	Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports	$224,500,000	BookMyShow is an online ticketing service for movies, theaters, and sporting events in India.	501-1000
Embibe	2012	Aditi Avasthi	Content Creators, Digital Marketing, EdTech, Education, Tutoring	$196,656,376	Embibe gives students with tailored educational input.	101-250
Awign Enterprises	2016	Annanya Sarthak, Gurpreet Singh, Praveen Sah	Business Development, E-Commerce, EdTech, Hospitality, Information Technology, Last Mile Transportation, Marketing, Outsourcing	$5,463,025	Awign is a work fulfillment platform that focuses on the gig economy and offers last-mile delivery.	251-500
ixigo	2006	Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar	Mobile, Mobile Apps, Tourism, Travel	$35,500,000	ixigo.com is an online travel site in India that makes all of your vacations easier.	101-250
Shuttl	2015	Amit Singh, Deepanshu Malviya	Apps, Mobile, Software, Transportation	$122,313,023	Shuttl is an app-based shuttle service that makes everyone's everyday commute safer, more reliable, and more economical.	251-500
Chai Point	2010	Amuleek Singh Bijral, Gaganjot Kaur	Food and Beverage, Food Processing, Restaurants, Snack Food, Tea	$46,221,395	Chai Point is a multi-channel beverage company that offers a precisely brewed cup of chai.	1001-5000
Avail Finance	2017	Ankush Aggarwal, Tushar Mehndiratta	Finance, FinTech, Mobile Payments	$41,443,027	Avail is a digital app that provides loans to India's blue-collar population with flexible repayment choices.	51-100
Flock	2014	Bhavin Turakhia	Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat	$45,000,000	Flock is a real-time messaging and collaboration app for teams that improves productivity by speeding up and simplifying communication.	101-250
GlowRoad	2017	Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma	E-Commerce, Retail, Social Shopping	$31,300,000	GlowRoad is the largest reseller network in the world, with over 200,000 resellers selling in over 1000 cities and earning money online.	51-100
HomeLane	2014	Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram	Home Decor, Home Improvement, Interior Design, Internet	$63,359,735	HomeLane is a home interior design firm that assists buyers in creating unique interiors for their homes.	501-1000
Wow! Momo	2008	Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman	Food and Beverage, Food Delivery, Food Processing	$37,996,690	Wow! Momo is a fast-food restaurant chain known for its momos.	251-500
LetsTransport	2015	Ankit Parasher, Pushkar Singh, Sudarshan Ravi	Logistics, Transportation, Travel	$24,628,092	Lets Transport is a logistics company that offers a variety of services.	11-50
Digital Class E-Learning Marketplace	2017	Hitesh Mohkar, Tushar Dhakate	B2B, B2C, E-Learning, EdTech, Marketplace	â¹3,500,000	Sellers and consumers of online courses can meet on this educational marketplace.	11-50
RentoMojo	2014	Achal Mittal, Ajay Nain, Geetansh Bamania	E-Commerce, Furniture, Internet, Rental	$51,443,326	RentoMojo is an online rental marketplace that offers monthly rentals of furniture, appliances, and gadgets (mobile phones, laptops).	501-1000
SBI Life	2001		Financial Services, Health Care, Insurance	$742,000,000	SBI Life is a life insurance company that provides a variety of plans and policies to safeguard you and your loved ones.	10001+
Zivame.com	2011	Kapil Karekar, Richa Kar	E-Commerce, Fashion, Internet, Lingerie	$69,002,120	Zivame is an online lingerie store based in India that allows users to shop by category, brand, color, and size.	251-500
VerSe Innovation	2007	Umang Bedi, Virendra Gupta	Content, Internet, Social Media	$434,009,213	VerSe Innovation is a platform for local language technology.	501-1000
CoinDCX	2017	Neeraj Khandelwal, Sumit Gupta	Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform	$5,500,000	CoinDCX is a cryptocurrency-enabled financial services provider.	11-50
Country Delight	2015	Chakradhar Gade, Nitin Kaushal	Agriculture, Delivery Service, Food and Beverage, Food Delivery	$44,247,827	Country Delight makes and distributes milk with the goal of delivering high-quality, pure milk to your home.	501-1000
BankBazaar.com	2008	Adhil Shetty, Arjun Shetty, Rati Shetty	E-Commerce, Finance, FinTech, Insurance, Marketplace	$115,000,000	BankBazaar.com is an independent online marketplace that provides immediate customized loan and insurance rate quotations.	1001-5000
Happay	2012	Anshul Rai, Varun Rathi	Financial Services, FinTech, SaaS, Software	$21,556,985	Happay is an artificial intelligence-powered business expenditure management software that helps companies automate their cost management processes.	251-500
Five Star Business Finance	1984	V K Ranganathan	Banking, Finance, Financial Services, Personal Finance	$456,059,601	Five-Star is a Reserve Bank of India-registered non-banking finance company (NBFC) (RBI).	1001-5000
Goodera	2014	Abhishek Humbad, Richa Bajpai	Computer, Events, Software, Sustainability	$17,612,830	Goodera is a technological platform that assists businesses in managing their corporate social responsibility (CSR) programs.	101-250
Simpl	2015	Chaitra Chidanand, Nityanand Sharma	E-Commerce, Financial Services, Lending, Payments	$26,700,000	In India, Simpl is the most popular Pay-Later platform.	101-250
F5 Refreshement	2018	Lalit Aggarwal, Raghav Arora	Food and Beverage	$621,291	F5 Refreshment is a company that produces snacks and beverages.	51-100
ShopClues	2011	Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi	E-Commerce, Internet, Marketplace, Shopping	$257,002,291	Shop Clues is a platform that allows buyers and sellers to communicate in a controlled environment.	1001-5000
Aknamed	2018	Saurabh Pandey, Varun Vohra	Health Care, Hospital, Supply Chain Management	$7,000,000	In India, Aknamed is optimizing the healthcare supply chain.	51-100
Droom	2014	Sandeep Aggarwal	Automotive, B2B, E-Commerce, E-Commerce Platforms, Internet, Marketplace, News	$133,000,000	Droom is an online vehicle marketplace that is powered by technology and data science.	251-500
Box8	2012	Amit Raj, Anshul Gupta	Delivery, E-Commerce, Food and Beverage, Food Delivery	$32,668,662	BOX8 is a meal-delivery service that delivers meals in a handy and easy-to-carry box.	1001-5000
Cashkaro	2013	Rohan Bhargava, Swati Bhargava	Coupons, Customer Service, E-Commerce, Internet, Retail	$14,550,000	Customers who shop at online stores through Cashkaro are rewarded with coupons and rebates.	51-100
CropIn	2010	Krishna Kumar	Analytics, Artificial Intelligence, Farming, Forestry, Information and Communications Technology (ICT), Machine Learning, Predictive Analytics, SaaS, Satellite Communication, Software	$32,599,576	CropIn is a leading AI and data-driven agri-tech company that uses deep learning to give SaaS solutions to agribusinesses throughout the world.	101-250
Jupiter	2019	Jitendra Gupta	Banking, Consulting, Financial Services, Wealth Management	$26,000,000	Jupiter is a digital retail banking solution that helps consumers keep track of their spending.	11-50
ShopX	2015	Amit Sharma, Apoorva Jois	B2B, E-Commerce, Internet	$56,417,592	Brands, merchants, and consumers are all connected through ShopX, a retail operating system.	101-250
Roposo	2012	Avinash Saxena, Kaushal Shubhank, Mayank Bhangadia	Internet, Social Network, TV	$32,697,880	Roposo - Individuals's TV is a one-of-a-kind social media platform where people can express themselves visually through home films and images.	51-100
LocoNav	2015	Shridhar Gupta, Vidit Jain	Computer, Software, Software Engineering	$7,420,000	LocoNav is an online fleet management software supplier that offers a single platform for running and managing fleet operations.	101-250
Avataar.Me	2016	Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru	3D Technology, Augmented Reality, E-Commerce, Fashion, Mobile Apps, Software, Virtual Reality	$7,000,000	Avataar.Me is a high-tech provider of AR and VR services that are utilized to turn 2D design materials into 3D social media campaigns.	51-100
BluSmart Mobility	2019	Anmol Jaggi, Punit Goyal	Electric Vehicle, Mobile Apps, Ride Sharing	$17,062,939	BluSmart is an electric vehicle fast charging network and a zero-emission ridehailing service.	51-100
SleepyCat	2017	Kabir Siddiq	E-Commerce	â¹110,000,000	SleepyCat is a mattress and sleep-solutions firm that sells directly to consumers online.	1-10
INDwealth	2018	Abhay Girnara, Amit Jain, Amrita Sirohia, Ashish Kashyap, Monika Dua, Pratiksha Dake	Artificial Intelligence, Financial Services, FinTech, Machine Learning, Personal Finance, Wealth Management	$56,891,230	INDwealth is a wealth management platform for HNI families that uses Artificial Intelligence and Machine Learning.	101-250
Shipsy	2015	Dhruv Agrawal, Himanshu Gupta, Soham Chokshi	Big Data, Internet of Things, Logistics, Machine Learning, Software, Supply Chain Management	$7,697,983	Shipsy's platform provides data-driven decision-making in the Supply Chain business, improving visibility and operational efficiency.	101-250
Kissht	2015	Karan Mehta, Krishnan Vishwanathan	Credit, Finance, Financial Services, FinTech, Lending, Sales Automation	$49,247,312	Kissht is a financial technology platform that allows users to get fast, hassle-free credit for purchases made at digital points of sale.	251-500
MedGenome	2013	Mahesh Pratapneni, Sam Santhosh	Biotechnology, Genetics, Health Care, Health Diagnostics, Medical	$119,000,000	MedGenome is a biotechnology firm that offers a comprehensive tracking, analysis, and data reporting system.	251-500
Fabhotels	2015	Adarsh Manpuria, Vaibhav Aggarwal	E-Commerce, Hospitality, Hotel, Travel Accommodations	$48,598,636	Fabhotels is an online hotel room aggregator. Its goal is to provide standardized services at a low cost.	51-100
Loadshare	2017	Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar	Delivery Service, Industrial Automation, Logistics, Software, Supply Chain Management	$21,262,496	Loadshare Network focuses on first-mile, line-haul, and last-mile delivery services via its logistical software solutions.	11-50
Gradeup	2015	Sanjeev Kumar, Shobhit Bhatnagar, Vibhu Bhushan	Education, Mobile, Online Portals	$10,020,000	India's largest and most effective competitive test preparation site.	501-1000
FreeCharge	2010	Kunal Shah, Sandeep Tandon	Coupons, E-Commerce, Internet, Payments	$177,639,874	FreeCharge is a service that provides coupons for consumers to utilize when topping up their mobile subscriptions.	251-500
Healthkart	2011	Sameer Maheshwari	Dietary Supplements, E-Commerce, Fitness, Health Care, Retail, Wellness	$61,000,000	Consumers may reach their fitness objectives with the support of HealthKart's fitness products, services, and community.	251-500
Saveo	2019		Fitness, Health Care, Wellness	â¹310,000,000	Saveo is a pharmacy-focused business-to-business e-commerce platform.	101-250
True Balance	2014	Cheolwon Lee, Jay Yi, Martin Lee	Apps, Financial Services, FinTech, Insurance, Mobile Payments, Personal Finance	$99,640,920	True Balance is a digital wallet that allows users to pay bills and access other financial services.	51-100
Coverfox Insurance	2013	Devendra Rane, Varun Dua	Auto Insurance, Health Insurance, Insurance, InsurTech, Life Insurance, Travel	$51,250,370	Coverfox Insurance is an insurtech company that offers simple online insurance brokerage services.	501-1000
EarlySalary	2015	Akshay Mehrotra	Financial Services, FinTech, Personal Finance	$33,267,529	EarlySalary.com is a Pune-based FinTech startup. We're here to save you from going bankrupt.	101-250
Pitstop	2015	Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak	Automotive, Service Industry	$9,702,517	Pitstop's doorstep service provides general automotive repair and maintenance services.	101-250
Wheels Eye	2017	Anshul Mimani, Manish Somani	Information Services, Information Technology	â¹70,000,000	WheelsEye is a logistics-tech firm that has received funding.	1001-5000
Bira 91	2015	Ankur Jain	Brewing, Craft Beer, Food and Beverage, Wine And Spirits	$160,465,015	Bira 91 is a craft beer company established in India that develops and manufactures a variety of craft beers.	251-500
PlanetSpark	2016	Kunal Malik, Maneesh Dhooper	E-Learning, EdTech, Education	â¹48,000,000	PlanetSpark is an after-school math and English program for children in grades two through seven.	1-10
LimeRoad	2012	Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee	E-Commerce, Fashion, Internet, Shopping	$51,944,731	A fun and exciting way to discover beautiful items, share them, and shop for them.	251-500
Pratilipi	2015	Prashant Gupta, Rahul Ranjan, Ranjeet Pratap Singh, Sahradayi Modi, Sankaranarayanan Devarajan	Audio, Comics, Digital Media, EBooks, Podcast, Publishing, Reading Apps	$29,833,055	Pratilipi is a platform for language storytelling that connects readers, writers, and their stories.	51-100
Freight Tiger	2014	Swapnil Shah	Automotive, Logistics, Transportation	â¹550,000,000	Freight Transactions that are simple, efficient, and transparent.	11-50
unlu	2020	Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal	Celebrity, Internet, Media and Entertainment, Social Media	$1,284,058	unlu is a celebrity interaction platform that enables consumers and brands to receive endorsements from well-known figures.	11-50
KIMS Hospitals	2000	Bhaskar Rao	Health Care, Hospital, Medical	$139,178,803	KIMS Hospitals is a multidisciplinary, integrated private healthcare services provider with a multispecialty hospital network.	11-50
InterviewBit	2015	Abhimanyu Saxena, Anshuman Singh	E-Learning, Employment, Information Technology, Internet, Recruiting, Software	$21,500,000	Young software workers can use an e-learning platform to advance their careers.	101-250
Oye Rickshaw	2017	Akash Deep, Mohit Sharma	Electric Vehicle, Last Mile Transportation, Public Transportation, Transportation	$13,275,120	Oye Rickshaw is an electric vehicle energy solutions startup that uses a booking app to link customers with public transportation.	251-500
Arzooo.com	2018	Khushnud Khan, Rishi Raj Rathore	Consumer Electronics, Electronics, Retail, Retail Technology, Shopping	$14,800,000	"With its main ""Go Store"" product, India's leading retail digital platform in the consumer durables market has transformed 300,000+ SMEs."	251-500
Amber Group	1990	Kartar Singh	Consumer Electronics, Electronics, Home Services, Industrial Manufacturing, Machinery Manufacturing, Manufacturing	â¹1,787,100,000	Amber Group is an Indian air conditioner and component manufacturer.	51-100
Star Health and Allied Insurance	2006		Health Care, Health Insurance, Insurance	$173,773,498	Medical Insurance, Accident Insurance, and Travel Insurance Plans are all available from Star Health and Allied Insurance.	1001-5000
Magicbricks	2006	Times Internet	Commercial Real Estate, Online Portals, Real Estate	â¹300,000,000	Magicbricks is India's most popular real estate website.	1001-5000
Unbxd	2011	Pavan Sondur, Prashant Kumar	Artificial Intelligence, Big Data, E-Commerce, Machine Learning, Navigation, Product Search, Search Engine, Software	$14,500,000	Unbxd is an e-commerce product discovery tool that matches customers with the products they are most likely to purchase.	101-250
LIDO	2019	Sahil Sheth	E-Learning, EdTech, Education, Software	$10,500,000	LIDO is an ed-tech startup that uses an immersive online platform to revolutionize education.	501-1000
Yulu	2017	Amit Gupta, Hemant Gupta, Naveen Dachuri, RK Misra	Electric Vehicle, Ride Sharing, Sharing Economy, Transportation	$19,900,000	Yulu is a micro-mobility platform in India that uses shared electric two-wheelers to alleviate traffic congestion and pollution.	101-250
Cashify	2015	Amit Sethi, Mandeep Manocha, Nakul Kumar	Consumer, Consumer Electronics, E-Commerce, Marketplace	$28,000,000	Cashify is an online marketplace where you can resell your secondhand electronics.	501-1000
Revv	2015	Anupam Agarwal, Karan Jain	Apps, Automotive, Rental	$23,300,000	Revv is an Indian car-rental company with a variety of alternatives to fulfill all of your self-drive requirements.	101-250
UrbanPiper	2015	Anirban Majumdar, Devarshi Shah, Saurabh Gupta	Food and Beverage, Information Services, Information Technology, Software	$10,180,783	The most important platform for restaurants to run their online operations.	101-250
PropTiger	2011	Dhruv Agarwala, Kartik Varma, Prashan Agarwal	Intellectual Property, Marketing, Real Estate	$85,000,000	PropTiger is a pan-India-based independent real estate advisor. We have extensive real estate experience and understanding in India.	501-1000
Miko	2015	Chintan Raikar, Prashant Iyengar, Sneh Vaswani	Artificial Intelligence, Consumer Electronics, EdTech, Hardware, Internet of Things, Machine Learning, Robotics	$21,540,065	Miko is a robotics, AI, and Internet of Things (IoT) firm.	101-250
HungerBox	2015	Sandipan Mitra, Uttam Kumar	B2B, Food and Beverage, Food Delivery	$44,580,231	HungerBox is a full-stack B2B food and beverage technology firm that specializes in corporate food solutions.	251-500
OYO	2012	Ritesh Agarwal	Hospitality, Hotel, Leisure, Reservations, Travel	$3,439,351,106	OYO is a hotel chain with a branded network of hotels that provide uniform guest experiences.	10001+
Leap Finance	2019	Arnav Kumar, Vaibhav Singh	Credit Cards, Education, Financial Services, FinTech, Lending	$22,500,000	Leap Finance is a fintech business that provides Indian students studying abroad with education loans and credit cards.	1-10
MedPlus	2006	Madhukar Gangadi	E-Commerce, Health Care, Pharmaceutical, Wellness	$317,695,079	MedPlus is a South Indian pharmacy business.	10001+
PiggyRide	2019	Manish Tewari, Rohan Kaushal	Children, Education, Information Services, Information Technology, Transportation	â¹110,000,000	PiggyRide is an online class, event, and course provider. Music, dance, activity, and summer camp are all available.	11-50
Vernacular.ai	2016	Akshay Deshraj, Manoj Sarda, Sourabh Gupta	Artificial Intelligence, Call Center, Customer Service, Internet, Internet of Things, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition	$5,100,000	By automating call center queries, we assist businesses in improving customer experience through intelligent voice chats.	51-100
ShareChat	2015	Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan	Internet, Mobile Apps, Social Media, Social Network	$824,830,000	ShareChat is a platform for social networking and regional content.	501-1000
PhableCare	2017	Mukesh Bansal, Prasanth Reddy, Sumit Sinha	Health Care, Internet, Mobile Apps, Personal Health	$13,670,000	Patients and doctors can use a mobile app to communicate with each other.	51-100
OZiva	2016	Aarti Gill, Mihir Gadani	Dietary Supplements, Fitness, Health Care, Nutrition, Wellness	$17,000,000	OZiva is a plant-based clean nutrition company that sells products for exercise, hair, skin, men's and women's health, and general wellness.	51-100
Testbook.com	2013	Abhishek Sagar, Ashutosh Kumar, Manoj Munna, Narendra Agrawal, Yadvendar Champawat	E-Learning, EdTech, Education	$12,550,000	Testbook.com is a website that helps people prepare for government exams.	101-250
Billdesk	2000	Ajay Kaushal	Finance, FinTech, Payments, Property Development, Rental	$241,361,584	BillDesk, a subsidiary of IndiaIdeas.com Ltd., was founded in early 2000 to address the problems that most of us have with paying bills.	251-500
Flatheads	2019	Ganesh Balakrishnan, Utkarsh Biradar	E-Commerce, Fashion, Retail, Shoes, Shopping	$725,000	Flatheads is a global lifestyle brand that designs and manufactures shoes in India. Flatheads was the first company in India to introduce bamboo footwear.	11-50
Signzy	2015	Ankit Ratan, Ankur Pandey, Arpit Ratan	Artificial Intelligence, Finance, Financial Services, FinTech, Risk Management, Software	$12,600,000	Signzy is an AI-powered fintech business that provides banks, NBFCs, and other financial institutions with a digital onboarding solution.	101-250
RAW Pressery	2014	Anuj Rakyan	Delivery, Food and Beverage, Food Processing, Organic Food	$41,255,467	RAW Pressery is a clean-label beverage company that sells cold-pressed juices, smoothies, soups, and other products.	101-250
WorkIndia	2015	Ajay Kumar, Jatin Jakharia, Kshitij Nagvekar, Kunal Patil, Lokesh Tiwari, Moiz Arsiwala, Nilesh Dungarwal, Soumil Rao	Human Resources, Recruiting, Staffing Agency	$6,390,562	WorkIndia is the largest blue-collar job portal and product firm in India.	51-100
WebEngage	2011	Ankit Utreja, Avlesh Singh	Enterprise Software, Marketing Automation, Personalization, SaaS	$6,100,000	Consumer firms' fastest-growing multi-channel Marketing Automation package and CDP. Improve user retention and increase revenue from existing customers!	101-250
Chumbak	2009	Subhra Chadda	E-Commerce, Lifestyle, Shopping	$26,963,740	Chumbak is a gifting firm situated in Bangalore, India. Chumbak, founded by Subhra Chadda, distributes trendy t-shirts, tins, coffee mugs, and shot glasses.	11-50
Mu Sigma	2004	DHIRAJ C RAJARAM	Analytics, Business Information Systems, Information Services, Information Technology, Software	$211,350,000	Mu Sigma is a management consulting firm that specializes in decision sciences and big data analysis.	1001-5000
Myelin Foundry	2019	Aditi Olemann, Ganesh Suryanarayanan, Gopichand Katragadda	Artificial Intelligence, Health Care, Industrial, Information Services, Information Technology, Machine Learning, Media and Entertainment	$2,001,796	Myelin Foundry creates Artificial Intelligence algorithms for edge devices based on video, audio, and sensor data.	11-50
JUSPAY	2012	Ramanathan RV, Vimal Kumar	FinTech, Internet, Mobile Payments, Payments	$27,420,684	Juspay is a company that creates an internet platform for making mobile payments.	51-100
DaMENSCH	2018		E-Commerce, Men's, Textiles	â¹637,500,000	DaMENSCH is a men's clothing designer and retailer.	11-50
InstantPay	2013	Shailendra Agarwal	E-Commerce, Electronics, Financial Exchanges, Financial Services, Mobile Payments, Payments, Transaction Processing	â¹340,000,000	Larger India's Financial Services	51-100
ITILITE	2017	Anish Khadiya, Mayank Kukreja	Business Travel, Information Technology, Internet	$17,271,725	ITILITE is a digital travel management application that makes booking flights and hotels easier.	101-250
Fyle	2016	Sivaramakrishnan Narayanan, Yashwanth Madhusudan	Accounting, Artificial Intelligence, Business Information Systems, Business Travel, Finance, FinTech, SaaS	$10,361,312	Fyle is a business expenditure management tool that is smart.	11-50
Trulymadly.com	2013	Hitesh Dhingra, Rahul Kumar, Sachin Bhatia	Apps, Dating, Internet	$8,923,539	Trulymadly is a matchmaking algorithm-based dating platform.	11-50
Quess Corp	2007	Ajit Isaac	Information Technology, Recruiting	$26,500,000	Quess Corp Ltd. was founded in 2007 and is India's largest business services provider.	10001+
FreshMenu	2014	Rashmi Daga	Delivery, Food and Beverage, Food Delivery, Food Processing	$25,837,687	FreshMenu is a food delivery service that serves high-quality fresh and flavorful cuisines.	501-1000
NODWIN Gaming	2012	Gautam Virk	Events, Gaming, Internet, Social Media, Sports	â¹1,640,000,000	NODWIN Gaming is a gaming solutions provider and e-sports event organizer.	11-50
IDfy	2011	Ashok Hariharan, Hatim Baheranwala, Vineet Jawa	E-Commerce, FinTech, Fraud Detection, Information Services, Information Technology, Insurance, Internet, Machine Learning	$5,168,764	IDfy is a people information company that helps businesses fight fraud by providing services like background checks.	101-250
Kinara Capital	2011	Hardika Shah	Finance, Financial Services, FinTech, Lending, Micro Lending, Social Entrepreneurship	$70,196,840	Kinara Capital is a lending organization that offers small business owners flexible, collateral-free loans.	251-500
Niki	2015	Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi	Android, Natural Language Processing	$6,287,653	Ramu Kaka, Full Stack | Ushering Bharat into the Internet Economy 2.0	51-100
MyGate	2016	Abhishek Kumar, Shreyans Daga, Vijay Arisetty	Apps, Information Services, Information Technology, Mobile Apps	$67,262,961	MyGate is a smart smartphone app that makes check-ins easier in any location.	501-1000
